Humidity,Temperature
40,38.0
41,37.8
42,37.6
43,37.4
44,37.2
45,37.0
46,36.8
47,36.6
48,36.4
49,36.2
50,36.0
51,35.8
52,35.6
53,35.4
54,35.2
55,35.0
56,34.8
57,34.6
58,34.4
59,34.2
60,34.0
61,33.8
62,33.6
63,33.4
64,33.2
65,33.0
66,32.8
67,32.6
68,32.4
69,32.2
70,32.0
71,31.8
72,31.6
73,31.4
74,31.2
75,31.0
76,30.8
77,30.6
78,30.4
79,30.2
80,30.0
81,29.799999999999997
82,29.6
83,29.4
84,29.2
85,29.0
86,28.799999999999997
87,28.6
88,28.4
89,28.2
40,28.0
41,27.799999999999997
42,27.6
43,27.4
44,27.2
45,27.0
46,26.799999999999997
47,26.6
48,26.4
49,26.2
50,26.0
51,25.799999999999997
52,25.6
53,25.4
54,25.2
55,25.0
56,24.799999999999997
57,24.6
58,24.4
59,24.2
60,24.0
61,23.799999999999997
62,23.6
63,23.4
64,23.2
65,23.0
66,22.799999999999997
67,22.6
68,22.4
69,22.2
70,22.0
71,21.8
72,21.599999999999998
73,21.4
74,21.2
75,21.0
76,20.8
77,20.599999999999998
78,20.4
79,20.2
80,20.0
81,19.8
82,19.599999999999998
83,19.4
84,19.2
85,19.0
86,18.799999999999997
87,18.599999999999998
88,18.4
89,18.2
