hours_studied,attendance_pct,previous_score,passed
3.7,43,41,0
9.5,72,48,1
7.3,72,42,1
6.0,78,36,1
1.6,84,38,0
1.6,99,60,1
0.6,71,43,0
8.7,59,54,1
6.0,88,63,1
7.1,56,75,1
0.2,66,33,0
9.7,45,82,1
8.3,42,71,1
2.1,98,35,0
1.8,90,87,0
1.8,82,90,0
3.0,65,34,0
5.2,50,48,1
4.3,49,82,1
2.9,55,79,0
6.1,73,42,1
1.4,83,44,0
2.9,80,54,1
3.7,57,61,0
4.6,97,70,1
7.9,84,54,1
2.0,73,60,0
5.1,77,79,1
5.9,65,32,0
0.5,55,46,0
6.1,61,76,1
1.7,85,88,1
0.7,41,63,1
9.5,47,65,1
9.7,43,37,1
8.1,42,59,1
3.0,91,65,0
1.0,82,46,0
6.8,68,48,1
4.4,46,55,0
1.2,69,31,0
5.0,68,51,0
0.3,50,44,0
9.1,66,51,1
2.6,64,38,0
6.6,77,88,1
3.1,78,69,0
5.2,43,74,1
5.5,62,81,0
1.8,78,62,0
9.7,70,36,1
7.8,91,65,1
9.4,80,68,1
8.9,50,78,0
6.0,44,58,0
9.2,79,38,1
0.9,42,48,0
2.0,75,54,0
0.5,96,72,0
3.3,75,67,1
3.9,63,53,0
2.7,79,94,0
8.3,67,69,1
3.6,73,45,0
2.8,96,37,0
5.4,63,40,0
1.4,98,46,0
8.0,94,40,1
0.7,52,42,0
9.9,44,49,1
7.7,46,41,1
2.0,41,88,1
0.1,46,35,0
8.2,81,64,1
7.1,44,57,0
7.3,59,94,1
7.7,91,37,1
0.7,41,56,0
3.6,89,93,1
1.2,57,86,0
8.6,47,83,1
6.2,82,47,0
3.3,78,41,0
0.6,93,73,0
3.1,84,90,0
3.3,88,66,1
7.3,57,67,1
6.4,51,48,0
8.9,85,80,1
4.7,88,42,1
1.2,99,51,1
7.1,65,58,1
7.6,62,63,1
5.6,87,46,1
7.7,60,37,1
4.9,96,70,1
5.2,92,49,0
4.3,66,68,0
0.3,85,40,0
1.1,85,61,0
0.3,46,65,0
6.4,94,33,1
3.1,70,52,1
5.1,90,39,0
9.1,59,34,0
2.5,94,94,1
4.1,63,51,0
7.6,41,83,0
2.3,94,47,0
0.8,45,74,0
2.9,59,79,0
1.6,97,69,1
9.3,97,61,1
8.1,74,57,1
6.3,78,53,0
8.7,67,90,1
8.0,58,84,1
1.9,60,93,0
8.9,80,38,0
5.4,85,78,1
8.1,87,91,1
9.0,87,42,1
3.2,45,34,0
1.1,70,78,1
2.3,43,67,1
4.3,73,85,1
8.2,66,39,0
8.6,93,82,1
0.1,61,43,0
5.1,47,41,0
4.2,49,41,0
2.2,86,83,1
1.2,77,73,0
3.4,46,64,0
9.4,45,53,1
3.2,82,87,0
5.2,44,56,0
7.0,89,83,1
3.6,82,59,0
9.7,45,55,1
9.6,45,60,1
2.5,99,50,1
5.0,62,79,1
3.0,62,63,0
2.8,89,45,1
0.4,97,88,1
6.1,99,55,1
5.0,85,65,1
0.5,63,89,0
2.8,45,71,0
9.1,87,38,1
2.4,74,91,0
1.4,65,71,1
4.9,94,52,0
9.9,47,39,0
2.4,70,82,0
6.7,41,70,1
7.6,68,65,1
2.4,43,88,0
7.3,47,81,1
3.7,47,40,0
6.3,79,50,0
6.3,85,46,0
5.4,75,78,1
0.9,98,32,0
8.4,62,67,1
3.2,57,80,0
1.9,92,87,1
0.4,53,52,0
5.9,98,83,1
6.8,41,37,0
0.2,98,85,0
5.1,43,38,0
2.3,93,56,0
6.5,72,82,0
1.7,100,40,0
6.9,44,45,0
3.9,73,77,0
9.4,98,77,1
1.4,71,72,1
