,ObservationID,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,UVIndex,Visibility_km,DewPoint,RainTomorrow
0,W0001,2021-05-21,Adelaide,14.6,20.8,2.6500000000000004,7.1,4.1,S,44.0,WSW,NW,42.0,48.0,94.0,67.0,999.6,993.5,5.0,5.0,17.3,19.4,Yes,6.0,18.1,18.5,Yes
1,W0002,2022-04-26,Adelaide,15.1,18.4,2.4,12.8,8.7,SW,10.0,SSW,N,10.0,24.0,34.0,58.0,1020.9,1018.1,2.0,3.0,15.2,17.2,No,10.0,40.6,14.890471092077089,No
2,W0003,2019-11-19,Perth,18.9,29.0,3.4,8.4,7.5,WNW,26.0,ESE,NW,12.0,9.0,46.0,48.0,1028.4,1025.9,3.0,3.0,19.9,26.2,No,11.0,38.8,21.3,No
3,W0004,2015-07-22,Melbourne,9.0,25.6,0.6,10.1,9.2,NNE,21.0,NE,E,21.0,11.0,26.0,23.0,1016.2728368017525,1013.1,2.0,3.0,14.1,18.7,Yes,2.0,6.8,7.2,No
4,W0005,2017-08-28,Newcastle,13.3,23.3,4.5,6.3,9.2,NNE,28.0,ENE,ESE,13.0,15.0,41.0,34.0,1016.2728368017525,1014.55,3.0,4.0,15.5,19.0,Yes,5.0,33.3,8.6,No
5,W0006,2022-04-06,Darwin,24.1,39.2,2.5,2.3,5.0,SSE,22.0,ESE,W,0.0,21.0,26.0,49.0,1021.2,1022.6,0.0,0.0,29.3,35.4,No,4.0,8.4,24.3,No
6,W0007,2020-06-20,Canberra,7.8,14.8,2.3,5.1,10.7,NE,33.0,SW,SSW,3.0,0.0,69.0,35.0,1013.5,1023.0,1.0,5.0,8.6,13.4,No,9.0,37.4,3.3,No
7,W0008,2018-07-04,Hobart,7.4,23.5,2.9,7.3,3.4,SE,67.0,ESE,NNW,32.0,25.0,75.0,55.0,1001.2,1004.7,3.0,6.0,11.1,15.6,Yes,11.0,44.0,14.890471092077089,Yes
8,W0009,2019-07-25,Townsville,20.8,26.2,1.1,14.1,6.7,NE,24.0,ESE,E,23.0,2.0,28.0,25.0,1016.2728368017525,1026.2,0.0,5.0,23.1,25.6,No,8.0,21.6,22.5,No
9,W0010,2018-09-26,Adelaide,13.4,18.1,2.6500000000000004,1.4,5.9,WSW,65.0,S,WSW,47.0,37.0,71.0,93.0,1016.2728368017525,1006.4,5.0,8.0,13.7,17.9,No,10.0,7.6,11.8,Yes
10,W0011,2016-03-26,Sydney,13.1,23.5,2.9,1.1,0.8,NE,68.0,NNE,ESE,15.0,16.0,74.0,55.0,998.8,997.1,7.0,7.0,15.8,20.4,No,6.0,35.7,13.8,Yes
11,W0012,2018-03-27,Perth,12.7,30.0,2.4,4.5,4.2,NNE,9.0,NW,SE,20.0,31.0,33.0,57.0,1016.8,1014.55,3.0,5.0,17.4,24.3,No,11.0,7.0,9.4,No
12,W0013,2022-07-29,Perth,15.2,24.4,2.9,12.4,8.4,W,7.0,N,WSW,7.0,14.0,66.0,58.0,1024.4,1012.7,3.0,3.0,18.0,20.3,No,1.0,21.6,13.2,No
13,W0014,2022-09-12,Newcastle,10.5,21.9,3.3,13.3,5.4,NNW,11.0,S,NNE,-0.0,15.0,40.0,50.0,1010.4,1019.4,5.0,3.0,12.5,19.2,No,1.0,25.0,8.3,No
14,W0015,2021-02-24,Darwin,21.2,39.8,2.0,8.6,3.5,WNW,44.0,W,WNW,18.0,16.0,87.0,69.0,1010.9,1002.8,5.0,6.0,27.8,34.0,Yes,8.0,26.7,14.890471092077089,Yes
15,W0016,2020-10-28,Cairns,19.8,34.4,1.2,7.9,5.4,NE,25.0,NW,W,21.0,27.0,43.0,27.0,1016.2728368017525,1012.6,0.0,3.0,27.0,30.6,No,11.0,46.8,17.4,No
16,W0017,2017-03-25,Darwin,22.8,35.3,1.2,3.6,8.0,WSW,25.0,SSE,WNW,10.0,32.0,43.0,32.0,1012.2,1016.0,4.0,2.0,23.9,33.1,No,8.0,30.8,20.7,No
17,W0018,2019-07-30,Darwin,21.3,31.9,2.6,7.7,1.9,SSW,29.264835164835166,N,NW,27.0,19.0,85.0,64.0,1012.5,993.9,7.0,7.0,25.5,28.7,Yes,3.0,23.6,17.9,Yes
18,W0019,2021-05-20,Sydney,15.8,25.767203219315896,2.9,2.3,4.8,NE,53.0,NE,ESE,18.0,17.0,73.0,65.0,999.3,1007.3,4.0,8.0,18.0,21.8,Yes,2.0,17.3,17.3,Yes
19,W0020,2016-02-13,Cairns,22.4,30.1,0.7,1.0,11.6,W,31.0,SW,NNW,19.0,15.0,31.0,47.0,1028.0,1014.55,4.0,2.0,25.8,26.7,Yes,1.0,32.7,26.6,No
20,W0021,2017-06-02,Cairns,23.0,27.0,3.8,9.1,12.2,NE,34.0,WNW,NNW,19.0,13.0,48.0,65.0,1022.9,1022.9,5.0,0.0,24.4,25.3,No,9.0,45.4,19.6,No
21,W0022,2022-06-17,Perth,18.3,26.6,2.9,8.4,7.243421052631579,WNW,14.0,SSE,WSW,18.0,20.0,70.0,45.0,1020.5,1016.3,3.0,1.0,18.3,25.9,Yes,11.0,33.6,17.7,No
22,W0023,2019-05-12,Townsville,23.6,27.2,2.4,2.0,2.8,NW,60.0,SSW,SE,18.0,40.0,76.0,88.0,995.2,999.7,8.0,4.0,24.1,25.5,Yes,5.0,14.4,27.2,Yes
23,W0024,2022-04-01,Canberra,8.1,20.3,0.5,11.6,7.0,NE,24.0,W,S,11.0,16.0,68.0,26.0,1022.6,1015.9,3.0,5.0,11.1,18.0,No,7.0,13.9,4.9,No
24,W0025,2015-11-04,Cairns,23.2,33.6,2.4,10.1,7.8,NE,15.0,SW,WSW,24.0,12.0,48.0,39.0,1022.9,1025.8,4.0,5.0,23.8,28.7,No,8.0,39.9,28.1,No
25,W0026,2022-07-29,Sydney,10.9,25.1,1.1,7.2,7.243421052631579,NE,17.0,WSW,NW,11.0,35.0,39.0,53.0,1021.7,1014.55,1.0,3.0,14.7,21.3,Yes,10.0,7.3,14.890471092077089,No
26,W0027,2015-03-20,Darwin,20.6,35.4,2.2,0.9,6.5,E,11.0,NNE,ENE,11.0,7.0,60.0,20.0,1016.5,1017.5,5.0,3.0,27.9,29.2,No,3.0,18.5,16.5,No
27,W0028,2020-11-01,Cairns,22.5,29.8,1.2,9.5,8.1,E,31.0,SSW,NE,20.0,25.0,32.0,35.0,1022.1,1012.9,2.0,0.0,25.1,28.6,No,4.0,36.7,18.9,No
28,W0029,2020-04-22,Wollongong,11.5,20.4,1.1,2.3,0.6,NW,71.0,SSE,ENE,48.0,21.0,62.0,73.0,1001.3,1008.4,4.0,5.0,12.8,20.1,Yes,11.0,5.6,15.2,Yes
29,W0030,2015-01-07,Perth,17.6,30.5,4.8,0.9,8.0,ENE,9.0,NE,WNW,3.0,21.0,57.0,60.0,1013.4,1024.2,0.0,2.0,19.1,27.1,Yes,5.0,46.0,15.5,Yes
30,W0031,2019-08-25,Darwin,21.3,30.3,6.6,12.7,2.1,E,29.264835164835166,SSW,S,30.0,23.0,95.0,80.0,996.7,995.3,5.0,6.0,25.3,25.8,Yes,4.0,42.7,18.2,Yes
31,W0032,2018-11-11,Cairns,20.1,34.7,3.1,3.9,8.7,WNW,12.0,SE,NW,21.0,32.0,33.0,46.0,1011.8,1021.7,3.0,1.0,24.7,27.7,Yes,5.0,29.0,16.4,No
32,W0033,2018-05-25,Sydney,14.8,25.9,3.5,8.3,4.9,SE,26.0,W,SE,1.0,23.0,63.0,59.0,1014.6,1013.8,2.0,1.0,15.8,21.5,Yes,5.0,20.7,11.4,No
33,W0034,2017-12-07,Adelaide,12.9,20.0,1.6,7.9,6.3,NE,9.0,S,S,28.0,10.0,34.0,20.0,1026.5,1015.8,3.0,2.0,14.1,16.8,No,2.0,23.9,17.3,No
34,W0035,2019-07-12,Sydney,15.2,28.0,1.6,9.3,11.8,NE,11.0,S,E,18.0,29.0,69.0,65.0,1016.2728368017525,1010.9,3.0,1.0,15.6,27.9,No,7.0,19.9,19.3,No
35,W0036,2016-11-17,Townsville,18.5,35.2,3.8,8.2,12.1,WSW,13.0,NW,SE,7.0,15.0,45.0,28.0,1016.4,1016.6,1.0,3.0,20.2,34.3,No,9.0,46.2,14.890471092077089,No
36,W0037,2018-08-19,Wollongong,10.3,28.5,1.4,11.5,7.243421052631579,NE,39.0,WNW,NNE,17.0,26.0,26.0,50.0,1016.2728368017525,1027.9,1.0,5.0,12.0,22.8,No,8.0,18.4,11.1,No
37,W0038,2019-04-07,Melbourne,7.8,17.8,2.75,0.7,2.3,NNW,29.264835164835166,NNE,W,18.0,23.0,91.0,91.0,1006.8,995.5,5.0,4.0,10.7,13.1,No,9.0,29.2,3.0,Yes
38,W0039,2018-01-04,Canberra,5.6,19.9,2.2,5.4,7.3,SSW,24.0,SSE,SSE,19.0,8.0,53.0,17.0,1016.2728368017525,1020.1,0.0,5.0,12.6,13.4,No,8.0,47.0,14.890471092077089,No
39,W0040,2022-08-16,Brisbane,18.6,26.9,1.6,3.1,8.8,NE,39.0,WSW,SSE,11.0,25.0,51.0,20.0,1016.2728368017525,1013.9,1.0,5.0,19.0,25.3,No,7.0,24.1,19.2,No
40,W0041,2022-08-24,Cairns,22.9,32.0,0.7,1.3,5.1,NNW,37.0,SE,ESE,8.0,20.0,62.0,54.0,1016.2728368017525,1019.2,1.0,5.0,26.1,30.9,No,9.0,36.5,17.9,No
41,W0042,2017-02-11,Perth,13.5,31.8,1.8,7.3,7.0,WSW,10.0,SE,NNE,25.0,35.0,52.0,58.0,1012.6,1008.3,1.0,3.0,19.4,23.3,No,9.0,11.6,8.7,No
42,W0043,2021-02-10,Newcastle,17.0,19.5,3.05,12.7,4.1,S,45.0,WSW,NNW,51.0,57.0,56.0,75.0,1010.8,1008.6,4.0,5.0,17.5,19.3,Yes,7.0,43.6,20.9,Yes
43,W0044,2017-06-27,Darwin,22.2,40.0,0.2,14.0,9.9,NE,21.0,SW,NW,7.0,34.0,27.0,18.0,1025.7,1027.2,3.0,5.0,27.3,31.5,No,11.0,43.2,26.3,No
44,W0045,2021-11-26,Canberra,6.6,20.4,2.3,7.3,7.243421052631579,NNE,9.0,NE,E,25.0,10.0,55.0,51.0,1029.6,1012.3,0.0,2.0,7.3,16.8,No,7.0,36.4,5.8,No
45,W0046,2022-06-15,Melbourne,11.9,22.7,2.3,13.9,5.7,E,41.0,S,N,20.0,6.0,50.0,50.0,1018.8,1010.6,5.0,5.0,13.5,19.1,No,5.0,45.5,15.4,No
46,W0047,2015-01-20,Townsville,21.3,28.2,2.4,14.1,3.8,NNE,49.0,E,SSE,54.0,32.0,94.0,98.0,997.6,1003.6,8.0,6.0,24.4,27.3,No,5.0,27.2,24.6,Yes
47,W0048,2015-03-07,Newcastle,16.9,28.0,3.05,9.9,1.5,SSW,29.264835164835166,S,WNW,44.0,28.0,86.0,58.0,1004.8,1012.7,6.0,4.0,22.0,27.3,Yes,4.0,29.8,17.3,Yes
48,W0049,2017-12-16,Townsville,23.6,31.1,1.1,10.8,11.1,SW,35.0,ESE,S,10.0,10.0,25.0,61.0,1014.1,1011.8,4.0,0.0,27.3,30.9,No,10.0,38.1,14.890471092077089,No
49,W0050,2021-08-02,Wollongong,11.9,23.6,0.1,3.2,7.2,S,35.0,WSW,NNW,10.0,10.0,48.0,36.0,1011.8,1010.3,5.0,4.0,11.9,18.7,No,10.0,29.4,8.6,No
50,W0051,2017-01-07,Sydney,15.5,24.4,4.5,3.4,12.9,ESE,27.0,W,S,9.0,25.0,68.0,22.0,1013.4,1012.5,3.0,0.0,18.6,22.6,No,7.0,8.1,13.7,No
51,W0052,2019-09-03,Townsville,21.4,34.3,2.4,7.8,4.0,S,45.0,SE,WNW,45.0,23.0,72.0,96.0,1003.9,1007.3,5.0,8.0,24.7,30.0,No,6.0,17.4,16.7,Yes
52,W0053,2015-01-19,Newcastle,10.0,21.2,3.05,11.0,5.6,W,42.0,W,NE,42.0,45.0,70.0,56.0,1010.8,1012.9,8.0,5.0,12.7,15.7,No,7.0,13.5,13.1,Yes
53,W0054,2017-01-29,Canberra,10.4,18.2,2.3,7.3,7.0,SW,21.0,NNE,SSE,3.0,25.0,33.0,24.0,1023.4,1014.3,4.0,5.0,12.2,14.6,No,3.0,22.3,12.7,No
54,W0055,2018-12-10,Wollongong,13.1,19.5,2.4,1.5,4.6,SW,29.264835164835166,N,S,32.0,33.0,65.0,79.0,1014.2,1003.0,4.0,6.0,14.9,16.7,Yes,7.0,42.3,14.0,Yes
55,W0056,2017-03-15,Melbourne,12.6,18.2,3.8,14.8,4.9,WNW,13.0,SSE,S,30.0,19.0,28.0,65.0,1016.2728368017525,1008.9,3.0,5.0,14.3,17.5,No,9.0,49.9,7.6,No
