VehicleID,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,car_color,registration_year,previous_owners,dealer_service_rating
V0001,0,67.0,isuzu,gas,turbo,four,hardtop,fwd,front,116.7,147.4,64.6,48.8,2165,ohc,two,180,2bbl,2.67,3.165,10.4,67.0,4693.0,33,40,15885.0,White,1985,1,5.0
V0002,-3,112.0,mazda,gas,turbo,four,wagon,fwd,front,118.8,159.6,67.6,51.6,1750,ohc,four,202,mpfi,3.23,2.55,9.8,271.0,4353.0,32,35,26156.0,Grey,1987,5,2.3
V0003,-2,162.0,chevrolet,gas,std,four,sedan,4wd,front,91.7,177.1,70.3,50.1,1776,ohc,six,297,mpfi,3.24,2.55,8.2,261.0,4600.0,29,32,27376.0,Grey,1990,5,4.2
V0004,-2,143.0,honda,gas,std,two,sedan,4wd,front,103.3,162.5,72.0,53.4,2156,ohc,three,216,mpfi,3.75,2.79,18.0,258.0,4898.0,30,33,24068.0,Blue,1985,5,2.9
V0005,-2,181.0,volkswagen,gas,std,four,hatchback,fwd,front,95.6,174.5,65.4,53.1,3493,ohcv,six,144,mpfi,2.72,3.56,9.1,228.0,6252.0,-5,40,23598.0,Red,1982,5,2.5
V0006,1,114.0,mercedes-benz,gas,turbo,four,hatchback,rwd,front,109.4,182.6,61.4,59.2,2450,dohc,four,162,mpfi,2.6,4.14,16.8,170.0,4448.0,37,43,45400.0,Grey,1986,4,2.6
V0007,-2,163.0,subaru,diesel,std,two,wagon,fwd,front,92.8,203.0,69.7,52.7,2504,ohc,three,9999,2bbl,2.59,3.06,10.2,283.0,6035.0,39,44,23773.0,Grey,1986,3,2.1
V0008,1,141.0,mercedes-benz,gas,std,four,sedan,fwd,front,92.4,142.4,68.6,57.6,3294,dohc,four,71,mfi,3.87,3.165,21.2,69.0,5665.0,36,40,32165.0,Grey,1982,1,5.0
V0009,2,191.0,subaru,gas,std,two,sedan,fwd,front,91.2,169.1,62.6,57.4,2109,ohc,eight,168,mpfi,2.63,3.87,11.2,171.0,4420.0,34,40,21433.0,White,1990,4,4.2
V0010,0,251.0,mazda,diesel,std,four,sedan,rwd,front,103.7,165.8,63.5,58.7,1800,ohcv,five,137,idi,2.75,2.38,14.1,251.0,6109.0,35,38,22256.0,Silver,1981,3,5.0
