VehicleID,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,car_color,registration_year,previous_owners,dealer_service_rating
V0001,0,67,isuzu,gas,turbo,four,hardtop,fwd,front,116.7,147.4,64.6,48.8,2165,ohc,two,180,2bbl,2.67,,10.4,67,4693,33,40,15885,White,1985,1,5.0
V0002,-3,112,mazda,gas,turbo,four,wagon,fwd,front,118.8,159.6,67.6,51.6,1750,ohc,four,202,mpfi,3.23,2.55,9.8,271,4353,32,35,26156,Grey,1987,5,2.3
V0003,-2,162,chevrolet,gas,std,,sedan,4wd,front,91.7,177.1,70.3,50.1,1776,ohc,six,297,mpfi,,2.55,8.2,261,4600,29,32,27376,Grey,1990,5,4.2
V0004,-2,143,honda,gas,std,two,sedan,4wd,front,103.3,162.5,72.0,53.4,2156,ohc,three,216,mpfi,3.75,2.79,18.0,258,4898,30,33,,Blue,1985,5,2.9
V0005,-2,181,volkswagen,gas,std,four,hatchback,fwd,front,95.6,174.5,65.4,53.1,3493,ohcv,six,144,mpfi,2.72,3.56,9.1,228,6252,-5,40,23598,Red,1982,5,2.5
V0006,1,114,mercedes-benz,gas,turbo,,hatchback,rwd,front,109.4,182.6,61.4,59.2,2450,dohc,four,162,mpfi,2.6,4.14,16.8,,4448,37,43,45400,Grey,1986,4,2.6
V0007,-2,,subaru,diesel,std,two,wagon,fwd,front,92.8,203.0,69.7,52.7,2504,ohc,three,9999,2bbl,2.59,3.06,10.2,283,6035,39,44,23773,Grey,1986,3,2.1
V0008,1,141,mercedes-benz,gas,std,,sedan,fwd,front,92.4,142.4,68.6,57.6,3294,dohc,four,71,mfi,3.87,,21.2,69,5665,36,40,32165,Grey,1982,1,5.0
V0009,2,191,subaru,gas,std,two,sedan,fwd,front,91.2,169.1,62.6,57.4,2109,ohc,eight,168,mpfi,2.63,3.87,11.2,171,4420,34,40,21433,White,1990,4,4.2
V0010,0,251,mazda,diesel,std,four,sedan,rwd,front,103.7,165.8,63.5,58.7,1800,ohcv,five,137,idi,2.75,2.38,14.1,251,6109,35,38,22256,Silver,1981,3,5.0
V0011,3,233,plymouth,gas,turbo,four,hatchback,rwd,front,109.1,207.9,63.4,52.8,3078,ohcv,eight,158,mpfi,3.54,3.51,17.2,169,5618,37,42,16610,Brown,1982,3,1.4
V0012,-1,185,nissan,gas,std,four,sedan,fwd,front,94.2,171.3,64.5,48.1,1706,ohc,six,258,spfi,3.06,2.13,21.9,262,5523,27,31,25800,Grey,1982,4,2.8
V0013,1,252,volkswagen,GAS,std,four,hardtop,rwd,front,116.0,204.6,65.2,51.6,1857,dohc,four,183,4bbl,2.77,2.19,18.9,189,6168,30,36,22608,Black,1987,5,3.7
V0014,3,138,mitsubishi,gas,turbo,four,sedan,4wd,front,108.4,182.9,70.7,55.3,2106,ohc,six,216,idi,3.37,2.81,8.2,166,6001,27,30,20003,White,1981,5,3.4
V0015,0,229,nissan,gas,turbo,four,sedan,fwd,front,96.3,189.6,68.2,58.7,2103,ohc,eight,133,4bbl,2.97,3.45,17.6,81,6587,35,40,1000000,Green,1982,5,1.4
V0016,-3,158,bmw,gas,turbo,two,sedan,fwd,front,108.0,199.9,71.0,57.7,1793,ohcf,four,307,2bbl,2.77,2.49,20.3,133,6533,24,29,45400,Black,1984,1,2.3
V0017,0,129,audi,gas,std,four,wagon,fwd,front,103.5,198.5,68.7,50.1,2902,ohc,six,90,spdi,2.96,2.34,21.6,,5714,35,40,,Blue,1983,5,3.4
V0018,2,,volkswagen,gas,std,four,wagon,rwd,front,114.6,191.1,67.2,48.3,2899,ohcv,eight,91,4bbl,2.64,4.03,7.5,152,4887,0,45,,Silver,1986,4,4.5
V0019,-3,76,toyota,gas,std,four,hatchback,4wd,front,89.2,189.6,71.2,55.5,3358,dohcv,four,298,mpfi,3.68,3.91,20.6,140,5430,23,31,$24970,White,1982,2,2.3
V0020,2,168,mercedes-benz,gas,std,,hatchback,fwd,front,99.0,151.8,62.3,48.0,2265,dohc,twelve,212,idi,3.29,2.91,18.1,98,4532,28,36,45400,Green,1982,3,3.1
V0021,2,178,audi,gas,std,two,hardtop,4wd,front,88.1,-183.2,64.0,48.1,3945,ohc,four,103,spfi,3.19,3.14,13.2,201,4228,32,37,,Grey,1980,2,1.7
V0022,3,216,audi,gas,std,four,hatchback,rwd,front,107.4,193.7,66.6,54.3,3773,dohc,five,121,2bbl,3.93,3.46,14.8,205,4447,35,38,41295,Red,1985,4,4.4
V0023,-2,,toyota,gas,turbo,four,hatchback,4wd,front,95.2,179.2,66.0,48.9,3004,ohc,two,260,2bbl,3.75,3.86,9.6,142,5130,23,29,25492,Black,1981,1,1.8
V0024,3,174,volvo,gas,std,four,wagon,fwd,front,86.9,180.8,68.4,-53.2,2800,ohc,eight,204,4bbl,2.68,2.69,12.5,192,6270,34,41,42233,Silver,1986,3,4.0
V0025,3,219,honda,gas,std,two,hatchback,4wd,front,86.7,159.1,68.1,50.2,3440,dohc,eight,113,mpfi,3.89,3.4,13.0,130,4661,32,38,16751,Grey,1981,3,3.4
V0026,2,91,plymouth,gas,std,four,hardtop,fwd,front,95.4,183.1,65.4,49.8,3483,ohcv,four,5000,mpfi,3.56,4.09,20.8,109,6175,37,43,12915,Green,1984,3,4.6
V0027,0,71,mercedes-benz,gas,std,two,sedan,fwd,front,91.7,185.9,66.8,51.2,3627,ohcf,four,150,idi,2.94,3.38,7.7,145,6070,28,35,45400,White,1980,1,3.6
V0028,-1,148,volvo,gas,std,four,hardtop,fwd,front,88.7,198.8,66.3,58.6,3610,ohcv,four,68,2bbl,2.54,3.21,8.3,263,4850,36,40,37352,Grey,1981,4,3.7
V0029,3,237,nissan,gas,turbo,two,sedan,fwd,front,119.7,183.6,64.0,52.5,2834,l,six,170,1bbl,,,9.3,141,5677,33,40,18424,Grey,1985,4,4.0
V0030,-2,96,toyota,gas,std,four,hatchback,rwd,front,101.4,197.5,65.2,58.2,2764,ohc,six,9999,mpfi,3.57,,11.2,288,4365,21,25,32412,Red,1987,5,1.6
V0031,-2,215,mazda,gas,turbo,four,convertible,rwd,front,113.1,202.4,68.7,55.1,1757,dohc,three,224,2bbl,3.58,3.08,15.0,243,6153,32,39,24269,Black,1985,4,2.9
V0032,0,126,mazda,gas,turbo,four,convertible,fwd,front,94.1,158.7,62.4,58.0,2495,ohc,four,195,4bbl,2.57,3.49,13.1,249,4604,32,36,24235,Silver,1985,2,4.8
V0033,-3,90,toyota,diesel,turbo,four,sedan,4wd,front,119.6,180.4,69.3,56.4,3119,ohcf,four,184,2bbl,3.73,,15.6,146,4723,27,34,20801,Red,1981,3,3.4
V0034,-3,224,mitsubishi,diesel,turbo,four,wagon,fwd,front,105.7,160.0,63.5,49.6,3454,ohc,six,218,2bbl,3.03,2.7,8.2,241,6079,26,34,22758,Blue,1980,1,3.3
V0035,1,,toyota,gas,std,four,sedan,4wd,rear,88.8,206.4,64.4,54.9,3143,ohc,five,316,mpfi,3.54,3.29,11.4,250,5789,21,27,1000000,Brown,1988,3,1.6
