,ObservationID,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,UVIndex,Visibility_km,DewPoint,RainTomorrow
0,W0001,2021-05-21,Adelaide,0.43933054393305443,0.35353535353535354,0.38732394366197187,0.6519823788546255,0.3642857142857142,S,0.611111111111111,WSW,NW,0.7777777777777777,0.8421052631578947,0.8518518518518516,0.6666666666666666,0.12893982808023097,0.014285714285716011,0.625,0.625,0.4801587301587302,0.3569023569023568,Yes,0.5000000000000001,0.29111111111111115,0.5870967741935484,Yes
1,W0002,2022-04-26,Adelaide,0.46025104602510464,0.27272727272727265,0.352112676056338,0.9030837004405288,0.6928571428571427,SW,0.1388888888888889,SSW,N,0.18518518518518517,0.42105263157894735,0.1111111111111111,0.5833333333333333,0.7392550143266483,0.7171428571428571,0.25,0.375,0.3968253968253968,0.2828282828282827,No,0.9,0.7911111111111111,0.47066035780893833,No
2,W0003,2019-11-19,Perth,0.6192468619246863,0.6296296296296295,0.49295774647887325,0.709251101321586,0.6071428571428571,WNW,0.3611111111111111,ESE,NW,0.2222222222222222,0.15789473684210525,0.25925925925925924,0.4907407407407407,0.9541547277936999,0.9400000000000013,0.375,0.375,0.5833333333333333,0.5858585858585859,No,1.0,0.7511111111111111,0.6774193548387097,No
3,W0004,2015-07-22,Melbourne,0.20502092050209209,0.5151515151515151,0.09859154929577466,0.7841409691629957,0.7285714285714284,NNE,0.29166666666666663,NE,E,0.38888888888888884,0.19298245614035087,0.012345679012345678,0.25925925925925924,0.6066715415974961,0.5742857142857147,0.25,0.375,0.3531746031746031,0.3333333333333332,Yes,0.1,0.039999999999999994,0.22258064516129034,No
4,W0005,2017-08-28,Newcastle,0.3849372384937239,0.43771043771043766,0.647887323943662,0.6167400881057269,0.7285714285714284,NNE,0.38888888888888884,ENE,ESE,0.24074074074074073,0.2631578947368421,0.1975308641975309,0.36111111111111105,0.6066715415974961,0.6157142857142865,0.375,0.5,0.40873015873015867,0.34343434343434337,Yes,0.4,0.6288888888888888,0.26774193548387093,No
5,W0006,2022-04-06,Darwin,0.8368200836820086,0.973063973063973,0.36619718309859156,0.4405286343612335,0.4285714285714285,SSE,0.3055555555555555,ESE,W,0.0,0.3684210526315789,0.012345679012345678,0.49999999999999994,0.7478510028653318,0.845714285714287,0.0,0.0,0.9563492063492063,0.8956228956228955,No,0.30000000000000004,0.07555555555555556,0.7741935483870968,No
6,W0007,2020-06-20,Canberra,0.15481171548117156,0.1515151515151515,0.3380281690140845,0.5638766519823789,0.8357142857142856,NE,0.4583333333333333,SW,SSW,0.05555555555555555,0.0,0.5432098765432098,0.37037037037037035,0.5272206303724936,0.8571428571428577,0.125,0.625,0.13492063492063489,0.15488215488215484,No,0.8,0.72,0.0967741935483871,No
7,W0008,2018-07-04,Hobart,0.1380753138075314,0.44444444444444436,0.4225352112676056,0.6607929515418502,0.3142857142857143,SE,0.9305555555555555,ESE,NNW,0.5925925925925926,0.43859649122807015,0.6172839506172838,0.5555555555555555,0.1747851002865346,0.3342857142857163,0.375,0.75,0.23412698412698407,0.22895622895622886,Yes,1.0,0.8666666666666667,0.47066035780893833,Yes
8,W0009,2019-07-25,Townsville,0.6987447698744771,0.5353535353535352,0.16901408450704228,0.9603524229074891,0.5499999999999999,NE,0.3333333333333333,ESE,E,0.42592592592592593,0.03508771929824561,0.037037037037037035,0.27777777777777773,0.6066715415974961,0.9485714285714302,0.0,0.625,0.7103174603174602,0.5656565656565657,No,0.7000000000000001,0.36888888888888893,0.7161290322580646,No
9,W0010,2018-09-26,Adelaide,0.389121338912134,0.2626262626262626,0.38732394366197187,0.4008810572687225,0.4928571428571429,WSW,0.9027777777777777,S,WSW,0.8703703703703703,0.6491228070175439,0.5679012345679011,0.9074074074074073,0.6066715415974961,0.38285714285714434,0.625,1.0,0.33730158730158727,0.3063973063973063,No,0.9,0.057777777777777775,0.3709677419354839,Yes
