ObservationID,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,UVIndex,Visibility_km,DewPoint,RainTomorrow
W0001,2021-05-21,Adelaide,14.6,20.8,28.2,7.1,4.1,S,44,WSW,NW,42,48,94,67,999.6,993.5,5,5,17.3,19.4,Yes,6,18.1,18.5,Yes
W0002,2022-04-26,Adelaide,15.1,18.4,2.4,12.8,8.7,SW,10,SSW,N,10,24,34,58,1020.9,1018.1,2,3,15.2,17.2,No,10,40.6,,No
W0003,2019-11-19,Perth,18.9,29.0,3.4,8.4,7.5,WNW,26,ESE,NW,12,9,46,500,1028.4,1025.9,3,,19.9,26.2,No,11,38.8,21.3,No
W0004,2015-07-22,Melbourne,9.0,25.6,0.6,10.1,9.2,NNE,21,NE,E,21,11,26,23,,1013.1,2,,14.1,18.7,Yes,2,6.8,7.2,No
W0005,2017-08-28,Newcastle,13.3,23.3,4.5,6.3,9.2,NNE,28,ENE,ESE,13,15,41,34,-100,,3,4,15.5,19.0,Yes,5,33.3,8.6,No
W0006,2022-04-06,Darwin,24.1,39.2,2.5,2.3,5.0,SSE,22,ESE,W,0,21,26,49,1021.2,1022.6,0,0,29.3,35.4,No,4,8.4,24.3,No
W0007,2020-06-20,Canberra,7.8,14.8,2.3,5.1,10.7,NE,33,SW,SSW,3,0,69,35,1013.5,1023.0,1,5,8.6,13.4,No,9,37.4,3.3,No
W0008,2018-07-04,Hobart,7.4,23.5,37.1,,3.4,SE,67,ESE,NNW,32,25,75,55,1001.2,1004.7,,6,11.1,15.6,Yes,11,44.0,,Yes
W0009,2019-07-25,Townsville,20.8,26.2,1.1,14.1,6.7,NE,24,ESE,E,23,2,28,25,,1026.2,0,5,23.1,25.6,No,8,21.6,22.5,No
W0010,2018-09-26,Adelaide,13.4,18.1,22.4,1.4,5.9,WSW,65,S,WSW,47,37,71,93,0,1006.4,5,8,13.7,17.9,No,10,7.6,11.8,Yes
W0011,2016-03-26,Sydney,13.1,23.5,31.9,1.1,0.8,,68,NNE,ESE,15,16,74,55,998.8,997.1,7,7,15.8,20.4,No,6,35.7,13.8,Yes
W0012,2018-03-27,Perth,12.7,30.0,2.4,4.5,4.2,NNE,9,NW,SE,20,31,33,57,1016.8,,,5,17.4,24.3,No,11,7.0,9.4,No
W0013,2022-07-29,Perth,15.2,24.4,-3.7,12.4,8.4,W,7,N,WSW,7,14,66,58,1024.4,1012.7,3,3,18.0,20.3,No,1,21.6,13.2,No
W0014,2022-09-12,Newcastle,10.5,21.9,3.3,13.3,5.4,NNW,11,S,NNE,-0.0,15,40,50,1010.4,1019.4,5,3,12.5,19.2,No,1,25.0,8.3,No
W0015,2021-02-24,Darwin,21.2,39.8,2.0,8.6,3.5,WNW,44,W,WNW,55,16,87,69,1010.9,1002.8,5,6,27.8,34.0,Yes,8,26.7,,yes
W0016,2020-10-28,Cairns,19.8,34.4,1.2,7.9,5.4,,25,NW,W,21,27,43,27,2000,1012.6,0,,27.0,30.6,No,11,46.8,17.4,No
W0017,2017-03-25,Darwin,22.8,35.3,1.2,3.6,8.0,WSW,25,SSE,WNW,10,32,43,32,1012.2,1016.0,4,2,23.9,33.1,No,8,30.8,20.7,No
W0018,2019-07-30,Darwin,21.3,31.9,8.8,7.7,1.9,SSW,73,N,NW,27,19,85,64,1012.5,993.9,7,7,25.5,28.7,Yes,3,23.6,17.9,Yes
W0019,2021-05-20,Sydney,15.8,99.9,23.4,2.3,4.8,NE,53,NE,ESE,18,17,73,65,999.3,1007.3,4,8,18.0,21.8,Yes,2,17.3,17.3,Yes
W0020,2016-02-13,Cairns,22.4,30.1,0.7,1.0,11.6,W,31,SW,NNW,19,15,31,47,1028.0,,4,2,25.8,26.7,Yes,1,32.7,26.6,No
W0021,2017-06-02,Cairns,23.0,27.0,3.8,9.1,12.2,NE,34,WNW,NNW,19,13,48,65,1022.9,1022.9,5,0,24.4,25.3,No,9,45.4,19.6,No
W0022,2022-06-17,Perth,18.3,26.6,2.9,8.4,,WNW,14,SSE,WSW,-29.0,20,70,45,1020.5,1016.3,3,1,18.3,25.9,Yes,11,33.6,17.7,No
W0023,2019-05-12,Townsville,23.6,27.2,19.2,2.0,2.8,NW,60,SSW,SE,58,40,76,88,995.2,999.7,8,4,24.1,25.5,Yes,5,14.4,27.2,Yes
